,Psalm,Verse,hebrew_lemmas,septuagint_lemmas,gallican_psalter_lemmas,hebrew_psalter_lemmas
397,30,5,זימר יהוה חסיד הודה זכר קודש,ψάλλομαι τίω κυριω οἶδα οσος αὐτάω καίω εἰομολογέω τῆ μιμέομαι ὁ αγιωσυνός αὐτάω,psallo dominus sanctus is et confiteor memoria sanctitas is,canto dominus sanctus is et confiteor memoria sanctitas is
398,30,6,כי רגע אף חי רצון ערב ילין בכי ביקר רנה,οἴομαι ὁργέω εἶμι τίω θυμόω αὐτάω καίω ζῶ εἶμι τίω ἐθέλω αὐτάω τῷς εσπερας αυλίσθομαι κλαυθμος καίω ἐίω τῷς πράσσω αγαλλιασις,quoniam ira in indignatio is et vita in voluntas is ad vesper demoro fletus et ad matutenus laetitia,quoniam ad momentum sum ira is et vita in repropitiatio is ad vesper commoror fletus et in matutino laus
399,30,7,אני הגיד שלווה בל אמוט לעולם,εγω δέω εἶπον εἶμι τῆ ευθηνιά ἐγώ οὐδόω μή σαλεύω ἐίω τίνω αιών,ego autem dico in abundantia meus non movo in aeternus,ego autem dico in abundantia meus non commoves in sempiternus
400,30,8,יהוה רצון העמיד הר עוז הסתיר פנים הייתי נבהל,κυρίω εἶμι τίω ἐθέλω σύ παρέχω τίω καλλέω ἐγώ δύναμαι απεστρέφω δέω τῷς προσόπτω σύ καίω Ιίαμαι τεράπτω,dominus in voluntas tuus praestituo decor meus virtus avirto facies tuus et facio sum conturbo,dominus in voluntas tuus pono mons meus fortitudo abscondo facies tuus et facio sum conturbo
401,30,9,אל יהוה נקרא אל אדני התפלל,πρόστημι σύ κυρίω κράζω καίω πρόστημι τίνω θεός ἐγώ δέω,ad tu dominus clamo et ad deus meus depreco,ad dominus clamo et dominus depreco
402,30,10,מה בצע דם רדת אל שחת היודך עפר היגיד אמה,τις ἐφέλω εἶμι τίω αἴμω ἐγώ εἶμι τίω καταβαίνω ἐγώ ἐίω διαφθείρω μή εξολολογέομαι σύ χοῦς ἠμί αναγγέλλω τημ αλήθεια σύ,qui utilitas in sanguis meus dum descendo in corruptio numquis confiteor tu pulva aut adnuntio veritas tuus,qui sum utilitas in sanguis meus cum descendo in corruptio numquis confiteor tu pulva aut adnuntio veritas tuus
403,30,11,שמע יהוה ענן יהוה היי עזר לי,ἥκω κυριος καίω αἱρέω ἐγώ κυριος ἑγίγνομαι βοηθος ἐγώ,audio dominus et misertus sum meus dominus facio sum adiutor meus,audio dominus et misereor meus dominus sum adiutor
404,30,12,הפך מספדי מחול לי פתחה שק פיזר שמחה,εἰστρεφή τίνω κοπέω ἐγώ ἐίω χορός εἶμι διερρήγνυμι τίνω σάκκω ἐγώ καίω περιεζόω ἐγώ ευφροσυνός,converto planeo meus in gaudium ego conscido saccus meus et circumdo ego laetitia,converto planeo meus in chorus ego solvo saccus meus et accingo ego laetitia
405,30,13,למען יזמרך כבוד לא יד יהוה אלוהים לעולם ניחם,οπως ἄἱς ψάλλω σύ ἠμί δοκέω ἐγώ καίω οὐδόω μή κατανυγω κυρίω ὁ θεος ἐγώ ἐίω τίνω αιών ἑξομολογέομαι σύ,ut canto tu gloria meus et non conpungo dominus deus meus in aeternus confiteor tu,ut laudo tu gloria et non taceo dominus deus meus in sempiternus confiteor tu
406,31,1,מנצח מזמור דוד,ἐίω τῷς τέλομαι ψαλμος τίω δαυιδάω εκστασιοί,in finis psalmus davida,victor canticus davida
407,31,2,בי יהוה הגן אל אבוש לעולם צדקה פלט,ἕπομαι σύ κυρίω αἱρπίζω μή καταισχυνθεία ἐίω τίνω αιών εἶμι τῆ δικαιοσυνής σύ ρυσή ἐγώ καίω ἐέλω ἐγώ,in tu dominus spero non confundo in aeternus in iustitia tuus liber ego,in tu dominus spero non confundo in aeternus in iustitia tuus saluus ego
408,31,3,הטה אל אוזן מהר הציל היה לי צור מעוז בית מצודה להושיעני,κλίνω πρόστημι ἐγώ τῷς οἶ σύ ταχυνός τις εἴλω ἐγώ γίγνομαι ἐγώ ἐίω θεός υπερασπίστης καίω ἐίω οἶκος καταφυγή τις σώζω ἐγώ,incleno ad ego auris tuus adcelus ut ero ego sum ego in deus protector et in domus refugium ut salvus ego facio,incleno ad ego auris tuus velociter liber ego sum ego in lapis fortiss et in domus munitus ut salem ego
409,31,4,כי סלע מצודה אני למען שם תנחני הנהיג,οἴομαι κραταιόμα ἐγώ καίω καταφυγη ἐγώ εἶμι σύω καίω ἕνω τις ονοματος σύ οδηγέομαι ἐγώ καίω διαθρέπω ἐγώ,quoniam fortitudo meus et refugium meus sum tu et propter nomen tuus deduco ego et enutrio ego,quia petra meus et munitio meus tu sum et propter nomen tuus dux meus sum et enutrio ego
410,31,5,הוציא רשת זה טמנו לי כי אני מעוז,εξάγω ἐγώ ἵημι παγῖς οὗτος ἠἰμί ἐκρύπτω ἐγώ οἴομαι σύω εἶμι ὁ υπερασπιστης ἐγώ,edo ego de laqueus hic qui abscondo ego quoniam tu sum protector meus,edo ego de res quod abscondo ego quia tu fortitudo meus sum
411,31,6,יד אפקיד רוח הוליך את יהוה אל אמת,ἐίω χείρ σύ παρατίθημι τῷς πνέμω ἐγώ ελυτρόω ἐγώ κυρίω ὁ θεος ὁ αλῆθεια,in manus tuus commeo spiritus meus redimo ego dominus deus veritas,in manus tuus commeo spiritus meus redimo ego dominus deus veritas
412,31,7,שנא שמרים הבל שווא אני אל יהוה בטח,εμι του διαφυλάσσω ματαιοτής δίω κενός εγω δέω ἕπομαι τίω κυριω αἱρπίζω,odi observo vanitas supervacuo ego autem in dominus spero,odi custodio vanitas frustra ego autem in dominus confisus sum
413,31,8,אגילה שמחה חסד אשר ראה את עני יודע צר נפש,αγαλλίσσω καίω ευφραίνω ἕπομαι τίω αἱρέω σύ οἴομαι εἶδον τημ ταπεινόω ἐγώ ἵσειμι ἵημι τίνω ανάγκος τημ ψυχή ἐγώ,exsulto et laeto in misericordia tuus quoniam respimitto humilitas meus salvo de necessitas anima meus,exsulto et laeto in misericordia tuus quia vido adflictio meus cognono tribulatio anima meus
414,31,9,לא הסגיר יד אויב העמיד מרחב רגל,καίω οὐδόω συνεκλείω ἐγώ ἐίω χείρ εχθρῷς ἵστημι εἶμι ευρύκω του πούς ἐγώ,nec conclusco ego in manus inimicus statuo in locus spatiosus pes meus,et non conclusco ego in manus inimicus pono in latitudo pes meus
415,31,10,חנני יהוה כי צר לי עששה כעס עין נפש בטן,ἐλεέω ἐγώ κυρίω οἴομαι θλίβω εταραχθη εἶμι θυμόω ὁ οφθαλμος ἐγώ ἠμί ψυχη ἐγώ καίω ἠμί γαστηρ ἐγώ,misereor meus dominus quoniam tribulo conturbo sum in ira oculus meus anima meus et venter meus,misereor meus dominus quoniam tribulo caligo in furor oculus meus anima meus et venter meus
416,31,11,כי כול יגון חי שנה אנחה כשל עוני כוח עצם עששו,οἴομαι ἐξελίζω εἶμι οδυνη ἠμί ζῶ ἐγώ καίω τῷ ἵημι ἐγώ εἶμι στεναγμός ἀνασθνέω εἶμι πτωχείον ἠμί ισχυς ἐγώ καίω τῷ οἶτα ἐγώ ἑταράσσω,quoniam deficio in dolor vita meus et annus meus in gemitus infirmo sum in paupertas virtus meus et os meus conturbo sum,quia consumo sum in maerus vita meus et annus meus in gemitum infirmo sum in iniquitas fortitudo meus et os meus conto
417,31,12,כול צררי הייתי חרפה משרת מאוד פחד מידע ראי חוץ נדדו מן,πάρειμι πᾶς του εχθρός ἐγώ Ιίαμαι ονειδος καίω ὁ γείτων ἐγώ σφοδράω καίω φοβος ὁ γνωστός ἐγώ οἶδα θεωρέω ἐγώ ἔγνυμι ἐφευγίομαι ἵημι αἱρέω,super omnis inimicus meus facio sum obprobrium et vicinus meus valde et timor nosco meus qui video ego foras fugio ab ego,apud omnis hoss meus facio sum obprobrium et vicinus meus nimis et timor nosco meus qui video ego in plater fugio ego
418,31,13,נשכח מת לב הייתי כלי אבד,ἐπελαύνω ὠθέω νεκρός ἕπομαι καρδία Ιίαμαι ὠθέω σκευός απολωλος,oblivio do sum tamquam morior ab cor facio sum tamquam vas perdo,oblivio trado sum quasi morior ab cor facio sum quasi vas perdo
419,31,14,כי שמע קנאה רב מגור סביב נוסד יחד על לקח נפש זממו,οἴομαι ἥκω ψογός πολύς παροικός κυκλόω εἶμι τίω επισυνάζω αὐτός αμαι εἶπον εἶμι τις λαμβάνω τημ ψυχή ἐγώ εβουλεύω,quoniam audio vituperatio multus commoror in circuitus in is dum convenio simul advisceo ego accipio anima meus consilior sum,audio enim obprobrium multus congregatio in circuitus cum inero consilium adverdo ego et ut aufero anima meus cogito
420,31,15,אני על בטח יהוה אמרתי אלוהים אני,εγω δέω ἕπομαι σύ αἱρπίζω κυρίω εἶπον σύω εἶμι ὁ θεος ἐγώ,ego autem in tu spero dominus dico deus meus sum tu,ego autem in tu spero dominus dico deus meus sum tu
421,31,16,יד עת הציל יד אויב מרדף,εἶμι ὁ χείρ σύ οἶδα καιρός ἐγώ ρυσή ἐγώ ἵημι χειρος εχθρων ἐγώ καίω ἵημι τίνω καταδιώκω ἐγώ,in manus tuus sors meus eripiscor ego de manus inimicus meus et ab persequor ego,in manus tuus tempus meus liber ego de manus inimicus meus et persequor ego
422,31,17,האיר פנים על עבד הושיעני חסד,επιφανος τῷς προσόπτω σύ ἕπομαι τίνω δουλέω σύ σώζω ἐγώ εἶμι τίω αἱρέω σύ,inlustrum facies tuus super servus tuus salvus ego facio in misericordia tuus,ostendo facies tuus super servus tuus saluus ego in misericordia tuus
423,31,18,יהוה אל אבוש כי קרא יבשו רשע ידמו שאול,κυρίω μή καταισχυνθεία οἴομαι ἑποκαλέω σύ αἰσχύνω οἶδα αἰσβέω καίω καταχθείω ἐίω αἶδον,dominus ne confundo quoniam invoco tu erubesco impius et deduco in infernus,dominus ne confundo quia invoco tu confundo impius taceo in infernus
424,31,19,תאלמנה שפה שקר דיבר על צדיק עתק גאווה בוז,αλαμβάνω γενηθης τῷ χεῖλος τῷ δολίω τῷ λαμβάνω κάθημαι τις δικαιόω ανομιά εἶμι υπερηφανια καίω εξουδεύω,mutus fio labia dolosus qui loquor advisceo iustus iniquitas in superbia et in abusio,mutus fio labia mendacium qui loquor contra iustus vetus in superbia et despectio
425,31,20,מה רב טוב אשר צפנת ליראיך פעל חסין בי נגד בן אדם,οἰδα πόλυμαι τῷς πληθος ὁ χρηστοτητος σύ κυρίω ἠἰμί ἐκρύπτω ὁ φοβέω σύ ἐργάζομαι ὁ ελπίζω ἕπομαι σύ εναντιος τίνω υεός τίνω ἄνθρωπος,quam magnus multitudo dulcedo tuus dominus quam abscondo timeo tu perficio is qui spero in tu in conspectus filius homo,quam multus sum bonitas tuus quam abscondo timeo tu operor sum spero in tu in conspectus filius homo
426,31,21,הסתיר סתר פנים רכס איש תצפנם בסכה דוב שינה,κατακρύπτω αὐτός εἶμι αποκρυφω τις προσόπτω σύ ἕπομαι ταραχή ἄνθρωπος σκέπτομαι αὐτός εἶμι σκηνη ἕπομαι αντιλογιαί γλάω,abscondo is in abdo facies tuus ab conturbatio homo protero is in tabernaculum ab contradictio lingua,abscondo is in protectio vultus tuus ab duritia virus abscondo is in umbrum ab contradictio lingua
427,31,22,ברוך יהוה כי הפליא חסד לי בעיר מצור,ευλογητος κυριος οἴομαι ἑθαυμάζω τῷς ελεος αὐτάω εἶμι πόλω περιοχης,benedico dominus quoniam mirifico misericordia suus ego in civitas munitus,benedico dominus qui mirabilis facio misericordia suus ego in civitas munitus
428,31,23,אני הגיד בחפזי נגרזתי נגד עין אכן שמע קול תחנון בשועי אל,εγω δέω εἶπον εἶμι τῆ ἵστημι ἐγώ απερριμμαι ἄρνυμαι ἕπομαι προσόπτω τίνω οφθαλμων σύ δίω τίυμμι εισακούω ὁ φωνή ὁ δεόσις ἐγώ εἶμι τίω κράζω ἐγώ πρόστημι σύ,ego autem dico in excessus mens meus proiecicio sum ab facies oculus tuus ideo exaudio vocus oratio meus dum clamo ad tu,ego autem dico in stupor meus proiecicio sum de conspectus oculus is ergo audio vocus deprecatio meus cum clamo ad tu
429,31,24,אהב את יהוה כל חסיד אמון נצר יהוה משלם על יתר עשה גאווה,αγαπάω τίνω κυριός παντάω οἶδα οσος αὐτάω οἴομαι αλῆθεια εκζάομαι κυριος καίω ανταποδίδων ὁ περίσσως ποιέω υπερηφανιά,diligo dominus omnis sanctus is quoniam veritas requiro dominus et retribuo abundanter facio superbia,diligo dominus omnis sanctus is fidelis servo dominus et retribuo hic qui satis operor superbia
430,31,25,חיזק אימץ לבב כל מייחל יהוה,ανδρίζω καίω κραταιόομαι ἠμί καρδίνω ὦμος παντάω οἶδα ελπίζω ἕπομαι κυριός,viriliter ago et conforto cor vester omnis qui spero in dominus,conforto et roboro cor vester omnis qui exspecto dominus
431,32,1,דוד השכיל אשרי נשוי פשע כפרה חטאה,τίω δαυιδάω σύνεσις μακαριός οἴομαι αἱρέω ἵημι ανομιά καίω οἴομαι ἑποκαλύπτω ἵημι αμαρτιάς,hic davida intellectus beatus qui remitto sum iniquitas et qui tectus sum peccatum,davida erudio beatus qui dimitto sum iniquitas et abscondo sum peccatum
432,32,2,אשרי אדם לא נחשב יהוה לו עון אין רוח רמייה,μακαριος αἰνέρω οὐδόω οὐδόω μή λογίομαι κυριος αμαρτία οὐδόω εἰσίζω εἶμι τίω στόγω αὐτάω δολος,beatus vir qui non inputo dominus peccatum nec sum in spiritus is dolus,beatus homo qui non inputo dominus iniquitas nec sum in spiritus is dolus
433,32,3,כי החרש בלו עצם הבריח כל יום,οἴομαι εἰγάω ἑπαλαίομαι τῷ οἶτα ἐγώ ἕπομαι τις κραζέω ἐγώ ὁράω τημ ὁμεράω,quoniam taceo invetera os meus dum clamo totus dies,quia taceo adtrior sum os meus in rugitus meus totus dies
434,32,4,כי יום לילה כיבד עלה יד נהפך לשד חרב קיץ סלה,οἴομαι ὁμεράω καίω νύξ εβωρύομαι εἶπον εἶμι ἠμί χείρω σύ ἐστρέφω ἐίω ταλαιπωριά εἶμι τίω εμπαγηνής αἰκάνω διαψάλλω,quoniam dies atque nox gravo sum super ego manus tuus converdo sum in aerumna meus dum configio ego spina diapsalmus,dies enim et nox gravo super ego manus tuus verso sum in miseria meus cum exardesco messis iugiter
435,32,5,חטא הודיע עוני לא כסיתי אמר הודה על פשע יהוה אני נשא עון חטאה סלה,τημ αμαρτία ἐγώ ἑνόρίσκομαι καίω τημ ανομιά ἐγώ οὐκέω εκωλύπτω εἶπον εξαγορεύω κητίω αἱρέω τημ ανομιά ἐγώ τίω κυριω καίω σύω ἀφίημι τημ ασεβεῖος ὁ αμαρτία ἐγώ διαψάλλω,delinquo meus cognosco tu facio et iniustitia meus non absco dico confiteor advisceo ego iniustitia meus dominus et tu remitto impietas peccatum meus diapsalmus,peccatum meus nosco facio tu et iniquitas meus non abscondo dico confiteor scelus meus dominus et tu dimitto iniquitas peccatum meus semper
436,32,6,על זה התפלל כל חסיד אל עת מוצא רק שטף מים רב אל לא הגיע,ὀπέρω οὗτος προσεύχομαι πᾶσχω οσιος πρόστημι σύ εἶμι καιρω εὑθέω πλήσκω εἶμι κατακλύπτω υδατός πολύς πρόστημι αυτον οὐκέω εγγιόω,pro hic oro ad tu omnis sanctus in tempus oportunus verumtamen in diluvius aqua multus ad is non adproximo,pro hic oro omnis sanctus ad tu tempus invenio ut cum inundo aqua multus ad ille non accedo
437,32,7,אני סתר לי צר תצרני רני פלט סובב סלה,σύω ἐγώ εἶμι καταφυγη ἕπομαι θλίψις ὁ περιέχω ἐγώ τῷς αγαλλιαμα ἐγώ λυτρόω ἐγώ ἕπομαι τίνω κυκλόω ἐγώ διαψάλλω,tu sum refugium meus ab tribulatio qui circumdo ego exultatio meus ero ego ab circumdo ego diapsalmus,tu sum protectio meus ab hos custodio ego laus meus salvo circumdo ego semper
438,32,8,האכיל אורך דרך זה הלכה איעצה על עין,συμτίκτω σύ καίω συμβιβω σύ εἶμι οἶδα οὗτος ἠμί πορεύω επιστηριω ἕπομαι σύ του οφθάλμος ἐγώ,intellectus tu do et instruo tu in via hic qui grado firmo super tu oculus meus,doceo tu et monstro tu via per quam ambulo cogo de tu oculus meus
439,32,9,אל נהיה סוס סוס אין הבין מוט אדן עד בולם בל קרב אל,μή γίγνομαι οἰδα ιππος καίω ημιόνος οἶ οὐκέω εἰσίζω σύνειμι εἶμι χαλινω καίω κημί ὁ σιαγών αὐτός ἄγνυμι τίνω μή εγγίζω πρόστημι σύ,nolo fio sicut equus et mulus qui non sum intellectus in camo et frenus maxillus is constringo qui non adproximo ad tu,nolo fio sicut equus et mulus qui non sum intellegentia in camo et frenus maxillus is constringo qui non accedo ad tu
440,32,10,רב מכאוב רשע בוטח יראה חסד יסובבנו,πολύς ἵημι μαστίξ τις αμάρτωλος τίνω δέω ελπίζω ἕπομαι κυριός ελεος κυκλόω,multus flagella peccator spero autem in dominus misericordia circumdo,multus dolor impius confideo autem in dominus misericordia circumdo
441,32,11,שמח יראה גילה צדיק והרנינו כל ישר לב,εὐφραίνω ἕπομαι κυριός καίω αγαλλίσκω δικαιόω καίω καταχάζω παντάω οἶδα ευθή τῆ καρδίνω,laetameo in dominus et exsulto iustus et glorio omnis rego cor,laetameo in dominus et exsulto iustus et laudo omnis rego cor
442,33,1,רננו צדיק יראה ישר נאווה תהלה,τίω δαυιδάω αγαλλίσκω δικαιόω εἶμι τίω κυριω ὁ εὕδω πρέπω αινεσις,psalmus davida exsulto iustus in dominus rego decet laudatio,laudo iustus dominus rego decet laudatio
443,33,2,הודה יהוה נבל נבל עשור זימר לו,εἰομολογέω τίω κυριω εἶμι κιθάρω εἶμι ψαλτηριω δαχό-χεύομαι ψάλλομαι αὐτάω,confiteor dominus in citharus in psalterium decem cordus psallo ille,confiteor dominus in citharus in psalterium decacordus canto is
444,33,3,שיר לו שיר חדש היטיב נגן בתרועה,ἵημι αὐτάω αμαι καίνω καλως ψάλλομαι εἶμι αλαγαγέμνώ,canto is canticus novus bene psallo in vociferatio,canto is canticus novus diligenter psallo in iubilum
445,33,4,כי ישר דבר יהוה כול מעשה אמונה,οἴομαι εὐθέω ὁ λογος τις κύριος καίω παντάω τῷ ἔργω αὐτάω εἶμι πίστημι,quia rego sum verbum dominus et omnis opus is in fides,quia rego sum verbum dominus et omnis opus is in fides
446,33,5,אהב צדקה משפט חסד יהוה מלאה ארץ,ἄγαμαι ελεημοσυνή καίω κρίνω τις ελεός κύριος πληρός ἠμί γαίνω,diligo misericordia et iudicium misericordia dominus plenus sum terra,diligo iustitia et iudicium misericordia dominus plenus sum terra
447,33,6,בדבר יהוה שמיים נעשה ברוח פה כל צבא,τίω λογέω τις κύριος οἶδα οὐρανός εστεροτέω καίω τίω πνευμάς τις στομα αὐτάω πάσκω ἠμί δυναμις αὐτός,verbum dominus caelum firmo sum et spiritus oris is omnis virtus is,verbum dominus caelum facio sum et spiritus oris is omnis ornatus is
448,33,7,כנס מול מים ים נתן באצרות תהום,συνάγω οἰδα ἵσκω υδατός θάλασσα τίθημι εἶμι θησαυρός αβύσσος,congrego sicut in utris aqua mas pono in thesaurus abyssus,congrego quasi in utris aqua mas pono in thesaurus abyssus
449,33,8,נראה מי כל ארץ מן גר כל ישב תבל,φοβέω τίνω κυριός πάσκω ἠμί γαίνω ἵημι αὐτάω δέω σαλεύω παντάω οἶδα κατοικέω τημ οἰκέω,timeo dominus omnis terra ab is autem commoveo omnis inhabito orbis,timeo dominus omnis terra ipse formido universus habitator orbis
450,33,9,כי הוא אמר היי הוא ציוה העמיד,οἴομαι αυτος εἶπον καίω ἑγείνω αυτος εἰντέλλω καίω εκτίζω,quoniam ipse dico et facio sum ipse mando et creo sum,quia ipse mando et facio sum ipse praecipio sisto
451,33,10,יהוה הפיר עצה גוי הניא מחשבה עם,κυριος διασκεδάζω βουλή εἶμι αθέτω δέω λογισμους λαων καίω αθέτω βουλή αρχοντός,dominus dissipo consilium gens reprobo autem cogitatio populus et reprobo consilium princeps,dominus dissolgeo consilium gens irritas facio cogitatio populus
452,33,11,עצה יהוה לעולם העמיד מחשבה לב לדר דר,ἠμί δέω βούλομαι τις κύριος ἐίω τίνω αιών μένω λογισμός ὁ καρδία αὐτάω ἐίω γενεά καίω γενεά,consilium autem dominus in aeternus maneo cogitatio cor is in generatio et generatio,consilium dominus in aeternus sto cogitatio cor is in generatio et generatio
453,33,12,אשרי גוי אשר יהוה אלוהים עם בחר נחלה לו,μακαριός τῷς ἕννυμι οὐδόω εἰσίζω κυριος ὁ θεος αὐτάω λαός ος ἐλέγω ἐίω κληρονομιά εὐύω,beatus gens qui sum dominus deus is populus qui eligo in hereditas sui,beatus gens qui dominus deus is populus qui eligo in hereditas sui
454,33,13,שמיים הביט יהוה ראה את כול בן אדם,ἐκ οὐρανός ἐπιβλέπω ὁ κυριος εἶδον πᾶς του υἱός τίνω ἄνθρωπος,de caelum respicio dominus vido omnis filius homo,de caelum respicio dominus vido omnis filius adam
455,33,14,מכון שבת השגיח אל כל ישב ארץ,ἐκ εἶμι κατοικητηρίον αὐτάω ἐπιβλέπω ἕπομαι πᾶς του κατοικέω τημ γαίνω,de praeparo habitaculum suus respicio super omnis qui habito terra,de firme solium suus prospiceo ad universus habitator terra
456,33,15,יצר יחד לב מבין אל כל מעש,ὁ πλάσσω κάθημαι μόνος ὁ καρδία αὐτός ὁ συνίημι ἐίω παντάω τῷ ἔργω αὐτός,qui fingo singillatim cor is qui intellego omnis opus ille,fingo pariter cor is intellego omnis opus is
457,33,16,אין מלך נושע רוב חיל גיבור לא ניצל רוב כוח,οὐδόω σώζω βασιλεύς δίω πολύς δύναμαι καίω γίγνομαι οὐδόω σώζω εἶμι πλήθω ισχυος αὐτάω,non salvo rex per multus virtus et gigo non salvo in multitudo virtus suus,non salvo rex in multitudo exercitus nec fortis libero in multiplicatio virtus
458,33,17,שקר סוס לתשועה מרב חיל לא נמלט,ψευδή ιππος ἐίω σωτηρία εἶμι δέω πλήθω δύναμις αὐτάω οὐδόω σώζω,fallax equus ad salus in abundantia autem virtus suus non salvo,fallax equus ad salus et in multitudo robur sui non salvo
459,33,18,הן עין יהוה אל ירא מייחל חסד,εἶδον οἶδα οφθαλμός κύριος ἕπομαι του φοβέω αυτον του ελπίζω ἕπομαι τῷς ελεος αὐτάω,ecce oculus dominus super metuo is qui spero super misericordia is,ecce oculus dominus super timeo is et exspecto misericordia is
460,33,19,הציל מוות נפש חי רעב,ρύομαι ἵημι ἕνατος ὁ ψυχή αὐτός καίω διαθρέπω αὐτός εἶμι λιμάω,ut eruo ab mors anima is et alo is in famer,ut eruo de mors anima is et vivifico is in famer
461,33,20,נפש ייחל יהוה עזר הגן הוא,ἠμί ψυχη εἶμι ἄπομαι τίω κυριω οἴομαι βοηθος καίω υπερασπιστης εἶμι εἰσίζω,anima noster sustineo dominus quoniam adiutor et protector noster sum,anima noster exspecto dominus auxilium noster et clipeus noster sum
462,33,21,כי בו שימח בן כי שם קודש בטח,οἴομαι εἶμι αὐτάω ευφραίνω ἠμί καρδίνω εἶμι καίω εἶμι τίω οἰνόω τίω αἰγέω αὐτάω ἀλπίζω,quia in is laeto cor noster et in nomen sanctus is spero,in ipse enim laeto cor noster quia in nomen sanctus is spero
463,33,22,היי חסד יהוה על כאשר יחלנו לך,γίγνομαι τῷς ελεος σύ κυρίω εἶπον ημας καθαῖρω ἀλπίζω ἕπομαι σύ,fio misericordia tuus dominus super nos quemadmodum spero in tu,sum misericordia tuus dominus super nos sicut expecto tu
464,34,1,דוד שנה את טעם לפני אבימלך ויגרשהו הלכה,τίω δαυιδάω οἶπον αλλοιόω τῷς προσόπτω αὐτάω εναντιος ἀβιμελέω καίω ἀπολύω αυτον καίω ἀπέρχομαι,davida cum inmuto vultus suus coram abimelech et dimitto is et abeo,davida quando commuto os suus coram abimelech et eiocio is et abeo
465,34,2,בירך את יהוה כול עת תמיד תהילה פה,εὐλογέω τίνω κυριός εἶμι παντίζω καιρω δίω παντος ἠμί αινεσις αὐτάω εἶμι τίω στόγω ἐγώ,benedico dominus in omnis tempus semper laus is in os meus,benedico dominus in omnis tempus semper laus is in os meus
466,34,3,יראה תתהלל נפש נשמע עניו שמח,εἶμι τίω κυριω επαινέω ἠμί ψυχη ἐγώ αἰκέω πράω καίω ευφρανθάνω,in dominus laudo anima meus audio mansuo et laeto,in dominus laeto anima meus audio mites et laeto
467,34,4,גידל יהוה את ונרוממה שם יחדיו,μεγαλυνατός τίνω κυριός σύνω εἶμι καίω ὠψόω τῷς οἰνόω αὐτάω ἕπομαι τῷς αὐτάω,magnifico dominus ego et exalto nomen is in is ipse,magnifico dominus ego et exalto nomen is pariter
468,34,5,דרש את יהוה ענן כול מגור הציל,εξεζατέω τίνω κυριός καίω εἰπακούω ἐγώ καίω ἵημι πάσσω τίνω παροίκω ἐγώ ἐρύω ἐγώ,exquiro dominus et exaudio ego et ex omnis tribulatio meus eripuio ego,quaesuc dominus et exaudio ego et de omnis angustia meus libero ego
469,34,6,הביט אל נהר פנים אל חפר,προσέρχομαι πρόστημι αυτον καίω φωτίσθης καίω τῷ προσόπτω ὦμος οὐδόω μή καταισχύνομαι,accedo ad is et inlumino et facio vester non confundo,respicio ad is et confluite et vultus vester non confundo
470,34,7,זה עני קרא ויהוה שמע כול צר הושיעו,ουτος ὁ πτωχος ἐκκράζω καίω ὁ κυριος εισακούω αὐτάω καίω ἵημι πάσσω τίνω θλίψις αὐτάω ἵσσω αυτον,iste pauper clamo et dominus exaudio is et de omnis tribulatio is salvo is,hic pauper clamo et dominus exaudio de omnis tribulatio salvo is
471,34,8,חנה מלאך יהוה סביב ליראיו חילץ,παραμβάλλω αγγελος κύριος κυκλω τίνω φοβέω αυτον καίω ρύομαι αὐτός,vallo angelus dominus in circuitus timeo is et eripio is,circumdo angelus dominus in gyrus timeo is et eruo is
472,34,9,טעם ראה כי טוב יהוה אשרי גבר יחס בו,γεύω καίω εἶδον οἴομαι χρηστος ὁ κυριος μακαριος αἰνέρω οἰ ελπίζω εἶπον αυτον,gusto et video quoniam suava sum dominus beatus vir qui spero in is,gusto et video quoniam bonus dominus beatus vir qui spero in is
473,34,10,הראה את יהוה קודש כי אין מחסור ליראיו,φοβέω τίνω κυριός οἶδα ἀγιός αὐτάω οἴομαι οὐκέω εἰσίζω ὄστερος ὁ φοβέω αυτον,timeo dominus omnis sanctus is quoniam non sum inopia timeo is,timeo dominus sanctus is quoniam non sum inopia timeo is
474,34,11,כפיר רש רעב דורש יהוה לא חסר כול טוב,πλουσιος επτοχεύω καίω ἑπεινάω οἶδα δέω ἀκητέω τίνω κυριός οὐκέω ελαττόω παντος ἄγαθος διαψάλλω,divis ego et esurio inquiro autem dominus non minuo omnis bonum diapsalmus,leor indigeo et esurio quaero autem dominus non desum omnis bonum
475,34,12,לכו בן שמע לי יראה יהוה לימד,δεύω τεκνάω ακούω ἐγώ φοβάω κύριος διδάσκω υμός,vigno filius audio ego timor dominus doceo ves,vigno filius audio ego timor dominus doceo ves
476,34,13,מי איש חפץ חי אהב יום ראה טוב,τις εἰσίζω ανθρώπος ὁ ἐθέλω ζωός ἄγαπος ὁμεράω εἶδον ἄγαθος,quis sum homo qui volo vita cupio vido dies bonus,quis sum vir qui vigo vita diligo dies vido bonus
477,34,14,נצר לשון רע שפה דיבר מרמה,παύω τημ γλωσσα σύ ἕπομαι κάκομαι καίω χεῖλος σύ τις μή λαλησής δόλλυμι,prohibeo lingua tuus ab malum et labia tuus ne loquor dolum,custodeo lingua tuus ab malum et labia tuus ne loquor dolum
