Hebrew Trans,Septuagint Trans,Gallican Psalter Trans,Hebrew Psalter Trans
"If an army should encamp against me, my heart shall not fear; if war should rise against me, in this I trust.","If an army should encamp against me, my heart shall not fear; if war should rise up against me, in this I hope.","If armies should stand against me, my heart shall not fear; if battle should rise against me, in this I will hope.","If armies should stand against me, my heart shall not fear; if war should rise against me, in this I shall be confident."
"One thing I have asked of the LORD, that I shall seek: that I may dwell in the house of the LORD all the days of my life, to behold the beauty of the LORD and to inquire in his temple.","One thing I asked of the Lord, this I will seek: that I may dwell in the house of the Lord all the days of my life, to behold the delight of the Lord and to visit his temple.","One thing I have asked of the Lord, this I will seek: that I may dwell in the house of the Lord all the days of my life, that I may see the will of the Lord and visit his temple.","One thing I have asked of the Lord, this I shall seek: that I may dwell in the house of the Lord all the days of my life, that I may behold the beauty of the Lord and attend to his temple."
For he will hide me in his shelter in the day of trouble; he will conceal me in the secret of his tent; upon a rock he will lift me up.,For he hid me in his tent in the day of my troubles; he sheltered me in the secret place of his tabernacle; upon a rock he raised me up.,For he has hidden me in his tabernacle; in the day of evils he protected me in the secret place of his tabernacle; upon a rock he exalted me.,For he will hide me in his shadow in the evil day; he will conceal me in the secret of his tabernacle; upon a rock he will exalt me. Now
"And now my head shall be lifted up above my enemies round about me, and I will offer in his tent sacrifices of shouting; I will sing and make music to the LORD.","And now, behold, he has lifted up my head above my enemies. I went around and offered in his tabernacle a sacrifice of shouting; I will sing and make music to the Lord.",And now he has exalted my head above my enemies. I went about and offered in his tabernacle a sacrifice of shouting; I will sing and I will speak a psalm to the Lord.,"also he will lift up my head above my enemies who are round about me, and I will offer in his tabernacle sacrifices of jubilation; I will sing and make music to the Lord."
"Hear, O LORD, my voice when I call; be gracious to me and answer me.","Hear, O Lord, my voice with which I cried out; have mercy on me and hear me.","Hear, O Lord, my voice with which I have cried; have mercy on me and hear me.","Hear, O Lord, my voice as I call; have mercy on me and hear me."
"To you my heart has said, ""Seek my face."" Your face, O LORD, I will seek.","To you my heart said, ""My face has sought you""; your face, O Lord, I will seek.","To you my heart has spoken; my face has sought you; your face, O Lord, I will seek.","My heart said to you, my face has sought your face, O Lord, and I will seek it."
"Do not hide your face from me; do not turn your servant away in anger. You have been my help; do not abandon me and do not forsake me, O God of my salvation.","Do not turn your face away from me; do not turn aside in anger from your servant. Be my helper; do not cast me off and do not forsake me, O God my savior.","Turn not your face from me; do not turn aside in anger from your servant. Be my helper; do not forsake me, nor despise me, O God my savior.","Do not hide your face from me; do not turn away in your anger from your servant. You have been my help; do not abandon me and do not forsake me, O God my savior."
"For my father and my mother have forsaken me, but the LORD will gather me up.","For my father and my mother have forsaken me, but the Lord has taken me up.","For my father and my mother have forsaken me, but the Lord has taken me up.","For my father and my mother have forsaken me, but the Lord has gathered me up."
"Teach me, O LORD, your way, and lead me on a level path, because of my enemies.","Teach me your way, O Lord, and guide me in a straight path, because of my enemies.","Set before me a law, O Lord, in your way, and direct me in the right path, because of my enemies.","Show me, O Lord, your way, and lead me on a straight path, because of those who lie in wait for me."
"Do not give me over to the desire of my adversaries, for false witnesses have risen against me, and they breathe out violence.","Do not deliver me to the souls of those who afflict me, for unjust witnesses have risen up against me, and injustice has lied to itself.","Do not deliver me over to the souls of those who trouble me, for unjust witnesses have risen up against me, and iniquity has lied to itself.","Do not deliver me, O Lord, to the will of those who afflict me, for false witnesses have risen against me, and open falsehood."
Had I not believed to see the goodness of the LORD in the land of the living—,I believe that I shall see the good things of the Lord in the land of the living.,I believe I shall see the good things of the Lord in the land of the living.,But I believe that I shall see the good things of the Lord in the land of the living.
"Wait for the LORD; be strong, and let your heart take courage; and wait for the LORD.","Wait upon the Lord; be courageous, and let your heart be strengthened, and wait upon the Lord.","Wait for the Lord; act manfully, and let your heart be strengthened, and endure the Lord.","Wait for the Lord; be strong, and let your heart take courage, and wait for the Lord."
"Of David. To you, O LORD, I call; my rock, be not deaf to me, lest, if you be silent to me, I become like those who go down to the pit.","Of David. To you, O Lord, I cried out; my God, do not be silent toward me, lest you be silent toward me and I become like those who go down into the pit.","Of David. To you, O Lord, I will cry out. My God, be not silent from me; lest if you be silent from me, I become like those who descend into the pit.","Of David. To you, O Lord, I will cry out. My Strength, do not be deaf to me, lest, if you be silent to me, I be compared to those who descend into the pit."
"Hear the voice of my supplications when I cry to you, when I lift up my hands toward the inner sanctuary of your holiness.","Hear the voice of my supplication when I pray to you, when I lift up my hands toward your holy temple.","Hear the voice of my supplication, while I pray to you, while I lift up my hands to your holy temple.","Hear, O Lord, my supplication, when I cry out to you, when I lift up my hands to your holy oracle."
"Do not drag me away with the wicked and with the workers of iniquity, who speak peace with their neighbors while evil is in their hearts.","Do not drag my soul away with sinners, and do not destroy me with workers of iniquity, who speak peace with their neighbors but have evil in their hearts.","Do not drag me away together with sinners, and do not destroy me with those who work iniquity, who speak peace with their neighbor, but evil is in their hearts.","Do not drag me away with the wicked and with the workers of iniquity, who speak peace with their friends, but evil is in their hearts."
Give to them according to their deeds and according to the evil of their doings; according to the work of their hands give to them; repay to them their recompense.,Give to them according to their works and according to the wickedness of their deeds; according to the works of their hands give to them; repay to them their recompense.,"Give to them according to their works, and according to the wickedness of their devices; according to the works of their hands give to them; render their recompense to them.",Give to them according to their work and according to the wickedness of their inventions; according to the work of their hands give to them; render to them their recompense.
For they do not regard the works of the LORD nor the deeds of his hands; he will tear them down and not build them up.,For they have not understood the works of the Lord and the works of his hands; you will tear them down and will not build them up.,"Because they have not understood the works of the Lord, and the works of his hands: you shall destroy them, and shall not build them up.","Because they do not understand the works of the Lord and the work of his hands, you will destroy them and not build them up."
"Blessed be the LORD, for he has heard the voice of my supplications.","Blessed be the Lord, for he has heard the voice of my supplication.","Blessed be the Lord, for he has heard the voice of my supplication.","Blessed be the Lord, who has heard the voice of my supplication."
"The LORD is my strength and my shield; in him my heart trusted, and I was helped; and my heart exults, and with my song I will praise him.","The Lord is my helper and my defender; in him my heart has hoped, and I was helped, and my flesh has flourished again, and of my own will I shall praise him.","The Lord is my helper and my protector; in him my heart has hoped, and I have been helped, and my flesh has flourished again; and of my own will I shall give praise to him.","The Lord is my strength and my shield; in him my heart has trusted, and I have been helped; my heart has rejoiced, and in my song I will praise him."
"The LORD is strength to them, and he is the stronghold of salvation for his anointed.",The Lord is the strength of his people and the defender of the salvation of his anointed one.,"The Lord is the strength of his people, and the protector of the salvation of his anointed one.",The Lord is my strength and the stronghold of the salvation of his anointed one.
Save your people and bless your inheritance; shepherd them and carry them forever.,"Save your people and bless your inheritance, and shepherd them and lift them up forever.","Save your people, and bless your inheritance; and rule them, and lift them up forever.","Save your people and bless your inheritance, and shepherd them and lift them up forever."
"A psalm of David. Ascribe to the LORD, O sons of the mighty, ascribe to the LORD glory and strength.","A psalm of David, at the departure from the tabernacle. Bring to the Lord, O sons of God, bring to the Lord the sons of rams; bring to the Lord glory and honor.","A psalm of David, at the completion of the tabernacle. Bring to the Lord, O sons of God, bring to the Lord the sons of rams.",A song of David. Bring to the Lord the sons of rams.
Ascribe to the LORD the glory of His name; worship the LORD in the splendor of holiness.,Bring to the Lord the glory of his name; worship the Lord in his holy court.,Bring to the Lord glory and honor; bring to the Lord glory to His name; worship the Lord in His holy court.,Bring to the Lord glory and power; bring to the Lord the glory of his name; worship the Lord in holy beauty.
The voice of the LORD is upon the waters; the God of glory thunders; the LORD is upon many waters.,The voice of the Lord is upon the waters; the God of glory has thundered; the Lord is upon many waters.,The voice of the Lord is upon the waters; the God of majesty has thundered; the Lord is upon many waters.,The voice of the Lord is upon the waters; the God of glory has thundered; the Lord is upon many waters.
The voice of the LORD is in power; the voice of the LORD is in majesty.,The voice of the Lord is in strength; the voice of the Lord is in majesty.,The voice of the Lord is in power; the voice of the Lord is in magnificence.,The voice of the Lord is in power; the voice of the Lord is in beauty.
The voice of the LORD breaks the cedars; and the LORD breaks the cedars of Lebanon.,The voice of the Lord breaks the cedars; and the Lord shall shatter the cedars of Lebanon.,The voice of the Lord breaking the cedars; and the Lord shall break the cedars of Lebanon.,The voice of the Lord breaking the cedars; and the Lord shall break the cedars of Lebanon.
"And He makes them skip like a calf, Lebanon and Sirion like a young wild ox.",And he shall make them thin as a calf—Lebanon itself—and the beloved one as a son of unicorns.,"And He shall shatter them like a calf of Lebanon, and the beloved one like the son of unicorns.","And he shall scatter them like a calf of Lebanon, and Sarion like the son of a rhinoceros."
The voice of the LORD hews out flames of fire.,The voice of the Lord cuts through a flame of fire.,The voice of the Lord striking through the flame of fire.,The voice of the Lord dividing the flames of fire.
The voice of the LORD shakes the wilderness; the LORD shakes the wilderness of Kadesh.,The voice of the Lord shakes the wilderness; and the Lord shall shake the wilderness of Kadesh.,The voice of the Lord shaking the desert; and the Lord shall shake the desert of Kadesh.,The voice of the Lord making the desert of Cades to bring forth.
"The voice of the LORD makes the deer to calve and strips the forests bare; and in His temple all of it says, ""Glory!""","The voice of the Lord prepares the deer, and shall uncover the thickets; and in his temple everyone speaks of glory.","The voice of the Lord preparing the deer, and He shall reveal the thick places; and in His temple all shall speak of His glory.","The voice of the Lord acting as midwife to the deer, and revealing the thickets; and in his temple all shall speak of his glory."
The LORD sat enthroned at the flood; and the LORD sits as king forever.,The Lord shall inhabit the flood; and the Lord shall sit as king forever.,"The Lord makes the flood to be inhabited, and the Lord shall sit as king forever.","The Lord inhabits the flood, and the Lord shall sit as king forever."
The LORD will give strength to His people; the LORD will bless His people with peace.,The Lord shall give strength to his people; the Lord shall bless his people with peace.,The Lord will give strength to His people; the Lord will bless His people in peace.,The Lord will give strength to his people; the Lord will bless his people in peace.
"A psalm, a song for the dedication of the house, of David.","For the end, a psalm of a song of the dedication of the house, to David.",A psalm of a canticle at the dedication of the house of David.,A psalm of a canticle for the dedication of the house of David.
"I will exalt you, O LORD, for you have drawn me up, and have not let my enemies rejoice over me.","I will exalt you, O Lord, for you have lifted me up, and have not let my enemies rejoice over me.","I will extol you, O Lord, for you have lifted me up, and you have not let my enemies rejoice over me.","I will exalt you, O Lord, for you have saved me, and you have not delighted my enemies over me."
"O LORD my God, I cried out to you, and you healed me.","O Lord my God, I cried to you, and you healed me.","O Lord my God, I cried to you, and you healed me.","O Lord my God, I cried to you, and you healed me."
"O LORD, you brought up my soul from Sheol; you kept me alive from among those who go down to the pit.","O Lord, you brought up my soul from Hades; you saved me from those who go down into the pit.","O Lord, you have brought up my soul from hell; you have saved me from those descending into the pit.","O Lord, you have brought up my soul from hell; you have given me life, lest I descend into the pit."
"Sing praise to the LORD, O you his faithful ones, and give thanks to the remembrance of his holiness.","Sing to the Lord, you his holy ones, and give thanks at the remembrance of his holiness.","Sing to the Lord, you his saints, and give praise to the memory of his holiness.","Sing to the Lord, you his saints, and give praise to the memory of his holiness."
"For his anger is but for a moment; life is in his favor; weeping may lodge in the evening, but joy comes in the morning.","For there is wrath in his anger, and life in his will; weeping shall lodge in the evening, and joy comes in the morning.","For wrath is in his indignation, and life in his good will: in the evening weeping shall linger, and in the morning gladness.","For wrath is in his indignation, and life in his good will: in the evening weeping shall linger, and in the morning, praise."
"And I said in my prosperity, I shall never be moved.","And I said in my prosperity, I shall never be moved forever.",And I said in my abundance: I shall never be moved.,But I said in my abundance: I shall never be moved.
"O LORD, by your favor you made my mountain stand strong; you hid your face, and I was dismayed.","O Lord, in your will you granted strength to my beauty; but you turned away your face, and I became troubled.","O Lord, in your good will you gave strength to my beauty. You turned your face from me, and I became troubled.","O Lord, in your good will you gave strength to my mountain; you hid your face, and I became troubled."
"To you, O LORD, I called, and to my Lord I made supplication.","To you, O Lord, I will cry, and to my God I will make supplication.","To you, O Lord, I will cry, and to my God I will make supplication.","To you, O Lord, I will cry, and to the Lord I will make supplication."
"What profit is there in my blood, in my going down to the pit? Shall the dust praise you? Shall it declare your truth?","What profit is there in my blood, when I go down to corruption? Shall the dust confess to you? Or shall it declare your truth?","What profit is there in my blood, while I descend into corruption? Shall the dust confess to you, or shall it declare your truth?","What profit is there in my blood, when I shall descend into corruption? Shall the dust confess to you, or shall it declare your truth?"
"Hear, O LORD, and be gracious to me; O LORD, be a helper to me.",The Lord heard and had mercy on me; the Lord became my helper.,The Lord heard and had mercy on me; the Lord became my helper.,"Hear, O Lord, and have mercy on me; O Lord, be my helper."
"You have turned my mourning into dancing for me; you have loosened my sackcloth and girded me with gladness,","You turned my mourning into dancing for me; you tore off my sackcloth and girded me with gladness,",You have turned my mourning into joy for me; you have torn my sackcloth and surrounded me with gladness.,You have turned my mourning into dancing for me; you have loosed my sackcloth and girded me with gladness.
"So that my glory may sing praise to you and not be silent. O LORD my God, I will give thanks to you forever.","So that my glory may sing to you and I may not be pierced with sorrow. O Lord my God, I will give thanks to you forever.","So that my glory may sing to you and I may not be pierced with sorrow. O Lord my God, I will give thanks to you forever.","So that my glory may sing praise to you and not be silent: O Lord my God, I will confess to you forever."
"For the choirmaster, a psalm of David.","To the end, a psalm of David, of ecstasy.","Unto the end, a psalm of David.","To the victor, a song of David."
"In you, O LORD, I have taken refuge; let me never be put to shame; in your righteousness deliver me.","In you, O Lord, I have hoped; let me never be put to shame. In your righteousness deliver me and rescue me.","In you, O Lord, I have hoped; let me never be confounded: in your justice deliver me.","In you, O Lord, I have hoped; let me not be confounded forever; in your justice, save me."
"Incline your ear to me; rescue me speedily; be to me a rock of strength, a house of fortresses, to save me.","Incline your ear to me; hasten to rescue me. Be to me a God who shields, and a house of refuge, to save me.","Incline your ear to me; hasten to rescue me. Be to me a God, a protector, and a house of refuge, that you may save me.","Incline your ear to me; swiftly deliver me. Be to me a stone most strong and a fortified house, that you may save me."
"For you are my rock and my fortress, and for your name's sake you will lead me and guide me.","For you are my strength and my refuge, and for the sake of your name you will guide me and nourish me.",For you are my strength and my refuge; and for your name's sake you will lead me and nourish me.,"For you are my rock and my fortress, and for your name's sake you will be my guide and will nourish me."
"You will bring me out of the net that they have secretly laid for me, for you are my stronghold.","You will bring me out of this snare which they have hidden for me, for you are my protector.","You will bring me out of this snare which they have hidden for me, for you are my protector.","You will lead me out of the net which they have hidden for me, for you are my strength."
"Into your hand I commit my spirit; you have redeemed me, O LORD, God of truth.","Into your hands I will commit my spirit; you have redeemed me, O Lord, the God of truth.","Into your hands I will commend my spirit: you have redeemed me, O Lord, God of truth.","Into your hand I will commend my spirit; you have redeemed me, O Lord, God of truth."
"I hate those who cling to worthless vanities, but I trust in the LORD.","You have hated those who cling to empty vanities, but I have hoped in the Lord.",You have hated those who observe vain things to no purpose; but I have hoped in the Lord.,You have hated those who guard vanities in vain; but I have trusted in the Lord.
"I will rejoice and be glad in your steadfast love, for you have seen my affliction; you have known the distresses of my soul.","I will rejoice and be glad in your mercy, for you have looked upon my humiliation; you have saved my soul from distresses.","I will exult and rejoice in your mercy, for you have regarded my lowliness; you have saved my soul from distresses.","I will exult and rejoice in your mercy, for you have seen my affliction; you have known the tribulations of my soul."
And you have not delivered me into the hand of the enemy; you have set my feet in a broad place.,And you did not shut me up into the hands of the enemy; you set my feet in a broad place.,Nor have you shut me up in the hands of the enemy; you have set my feet in a spacious place.,And you have not shut me up in the hands of the enemy; you have set my feet in a broad place.
"Be gracious to me, O LORD, for I am in distress; my eye wastes away from grief, my soul and my body also.","Have mercy on me, O Lord, for I am afflicted; my eye is troubled with anger, my soul and my belly.","Have mercy on me, O Lord, for I am troubled: my eye is disturbed with anger, my soul and my belly.","Have mercy on me, O Lord, for I am troubled; my eye has grown dim with fury, my soul and my belly."
"For my life is consumed with sorrow, and my years with sighing; my strength fails because of my iniquity, and my bones waste away.","For my life has failed in pain, and my years in groaning; my strength has weakened in poverty, and my bones are troubled.","For my life has failed in sorrow, and my years in groaning. My strength is weakened in poverty, and my bones are troubled.","For my life has been consumed in sorrow, and my years in groaning; my strength has been weakened in iniquity, and my bones have wasted away."
"Because of all my adversaries I have become a reproach, and greatly so to my neighbors, and a dread to my acquaintances; those who see me in the street flee from me.","I have become a reproach beyond all my enemies, and exceedingly so to my neighbors, and a fear to my acquaintances; those who saw me outside fled from me.","I have become a reproach above all my enemies, and exceedingly so to my neighbors, and a fear to my acquaintances. Those who saw me fled away from me outside.","Among all my enemies I have become a reproach, and exceedingly so to my neighbors, and a fear to my acquaintances; those who saw me in the streets fled from me."
"I am forgotten like a dead man, out of mind; I have become like a broken vessel.",I have been forgotten like a dead man from the heart; I have become like a vessel that is destroyed.,"I have been given to oblivion, as one dead from the heart; I have become as a vessel that is destroyed.","I have been handed over to oblivion, like one dead from the heart; I have become like a ruined vessel."
"For I have heard the whispering of many, terror on every side; as they conspired together against me, they schemed to take my life.","For I have heard the blame of many dwelling round about; when they gathered together against me, they plotted to take my life.","For I have heard the blame of many dwelling round about; while they assembled together against me, they took counsel to take away my soul.","For I heard the reproach of many, a gathering round about, when they entered into counsel against me, and plotted to take away my life."
"But I trust in you, O LORD; I say, ""You are my God.""","But I have hoped in you, O Lord; I said, ""You are my God.""","But I have hoped in you, O Lord; I said: You are my God.","But I have hoped in you, O Lord; I said, ""You are my God."""
My times are in your hand; deliver me from the hand of my enemies and from my pursuers.,My times are in your hands; deliver me from the hand of my enemies and from those who pursue me.,"My lots are in your hands: deliver me from the hand of my enemies, and from those who persecute me.",In your hand are my times; deliver me from the hand of my enemies and from those who persecute me.
Make your face shine upon your servant; save me in your steadfast love.,Make your face shine upon your servant; save me in your mercy.,Make your face to shine upon your servant; save me in your mercy.,Show your face upon your servant; save me in your mercy.
"O LORD, let me not be put to shame, for I have called upon you; let the wicked be put to shame; let them be silenced in Sheol.","O Lord, let me not be put to shame, for I have called upon you; let the ungodly be ashamed and brought down to Hades.","O Lord, let me not be confounded, for I have called upon you. Let the wicked be ashamed, and let them be led down to hell.","O Lord, let me not be confounded, for I have called upon you; let the wicked be confounded; let them be silent in hell."
"Let lying lips be mute, which speak arrogantly against the righteous with pride and contempt.","Let the deceitful lips be made speechless, which speak lawlessness against the righteous with pride and contempt.","Let deceitful lips be made mute, which speak iniquity against the just, in pride and in contempt.","Let the lips of falsehood be made mute, which speak against the just one old things in pride and contempt."
"How great is your goodness, which you have stored up for those who fear you, which you have wrought for those who take refuge in you, before the sons of men.","How great is the abundance of your goodness, O Lord, which you have hidden for those who fear you, which you have wrought for those who hope in you before the sons of men.","How great is the multitude of your sweetness, O Lord, which you have hidden for those who fear you, which you have perfected for those who hope in you, in the sight of the sons of men.","How great is your goodness, which you have hidden for those who fear you; you have wrought it for those who hope in you in the sight of the sons of men."
You hide them in the secret of your presence from the conspiracies of man; you shelter them in a booth from the strife of tongues.,You will hide them in the secret of your presence from the disturbance of men; you will shelter them in a tabernacle from the contradiction of tongues.,You will hide them in the secret of your face from the disturbance of men; you will protect them in your tabernacle from the contradiction of tongues.,You will hide them in the protection of your countenance from the harshness of man; you will hide them in a shelter from the contradiction of tongues.
"Blessed be the LORD, for he has wondrously shown his steadfast love to me in a besieged city.","Blessed be the Lord, for he has made his mercy wondrous in a fortified city.","Blessed be the Lord, for he has made his mercy wonderful to me in a fortified city.","Blessed be the Lord, who has made his mercy wondrous to me in a fortified city."
"And I said in my alarm, ""I am cut off from before your eyes."" But indeed you heard the voice of my supplications when I cried out to you.","But I said in my ecstasy, ""I am cast away from before your eyes."" Therefore you heard the voice of my supplication when I cried out to you.","But I said in the excess of my mind: I am cast away from the sight of your eyes. Therefore you heard the voice of my prayer, when I cried out to you.","But I said in my astonishment, ""I am cast away from the sight of his eyes."" Yet you heard the voice of my supplication when I cried out to you."
"Love the LORD, all you his faithful ones. The LORD preserves the faithful, and abundantly repays the one who acts in pride.","Love the Lord, all you his holy ones, for the Lord seeks out truth, and repays those who act with exceeding pride.","Love the Lord, all you his saints, for the Lord seeks out truths, and repays abundantly those who act with pride.","Love the Lord, all you his saints; the Lord preserves the faithful, and repays abundantly those who work pride."
"Be strong, and let your heart take courage, all you who wait for the LORD.","Be courageous, and let your heart be strengthened, all you who hope in the Lord.","Act manfully, and let your heart be strengthened, all you who hope in the Lord.","Be strong, and let your heart be strengthened, all you who wait for the Lord."
"Of David, a Maskil. Blessed is he whose transgression is forgiven, whose sin is covered.",Of David; a psalm of understanding. Blessed are those whose lawless deeds have been forgiven and whose sins have been covered over.,"Of David, a psalm of understanding. Blessed are those whose iniquities have been forgiven and whose sins have been covered.","Of David, a skillful psalm. Blessed is he whose iniquity is forgiven and whose sin is covered."
"Blessed is the man to whom the LORD does not impute iniquity, and in whose spirit there is no deceit.","Blessed is the man against whom the Lord will by no means reckon sin, nor is there deceit in his mouth.","Blessed is the man to whom the Lord will not impute sin, nor is there deceit in his spirit.","Blessed is the man to whom the Lord will not impute iniquity, nor is there deceit in his spirit."
"When I kept silent, my bones wasted away through my groaning all the day.","Because I kept silent, my bones grew old from my crying out all the day long.","Because I kept silent, my bones grew old, while I cried out all the day long.","Because I kept silent, my bones were worn away in my groaning all the day long."
For day and night your hand was heavy upon me; my moisture was turned into the drought of summer. Selah.,Because day and night your hand was heavy upon me; I was turned to misery when a thorn was driven in. Selah.,"Because day and night your hand was heavy upon me, I was turned in my anguish while the thorn was fixed in me. Selah.",For day and night your hand was heavy upon me; I was turned in my misery while the thorn continually burned hot.
"I acknowledged my sin to you, and my iniquity I did not hide; I said, ""I will confess my transgressions to the LORD,"" and you forgave the iniquity of my sin. Selah.","I made known my sin, and my lawlessness I did not cover. I said, ""I will confess against myself my lawlessness to the Lord,"" and you forgave the ungodliness of my sin. Selah.","I made my transgression known to you, and my injustice I did not hide. I said: I will confess my injustice against myself to the Lord, and you forgave the wickedness of my sin. Selah.","I make my sin known to you, and my iniquity I do not hide. I said: I will confess my transgression to the Lord, and you forgave the iniquity of my sin forever."
"Therefore let every godly one pray to you at a time of finding; surely when the great waters flood, they shall not reach him.","For this, every holy one shall pray to you in a fitting time; yet in a flood of many waters, they shall not come near to him.","For this shall every holy one pray to you in a fitting time. Yet in a flood of many waters, they shall not draw near to him.","For this, every holy one shall pray to you in a time of finding, so that when many waters overflow, they shall not draw near to him."
You are a hiding place for me; from distress you preserve me; with songs of deliverance you surround me. Selah.,"You are my refuge from the affliction that surrounds me; my joy, deliver me from those who have encircled me. Selah.","You are my refuge from the tribulation that has surrounded me; my exultation, deliver me from those who surround me. Selah.","You are my protection; from the enemy you will guard me. O my praise, saving me, you will surround me always."
I will instruct you and teach you in the way which you should go; I will counsel you with my eye upon you.,I will give you understanding and instruct you in this way in which you shall go; I will fix my eyes upon you.,"I will give you understanding, and I will instruct you in this way in which you shall walk; I will fix my eyes upon you.",I will teach you and show you the way in which you should walk; I will fix my eye upon you.
"Do not be like a horse, like a mule, without understanding, whose trappings are bit and bridle to hold them in, lest they come near to you.","Do not become like horse and mule, which have no understanding; with bit and bridle you must constrain their jaws, of those who do not draw near to you.","Do not become like the horse and the mule, which have no understanding. With bit and bridle bind the jaws of those who do not draw near to you.","Do not become like the horse and the mule, which have no understanding; with bit and bridle bind the jaws of those who do not draw near to you."
"Many are the sorrows of the wicked, but he who trusts in the LORD, lovingkindness shall surround him.","Many are the scourges of the sinner, but mercy shall surround the one who hopes in the Lord.","Many are the scourges of the sinner, but mercy shall surround the one who hopes in the Lord.","Many are the sorrows of the wicked, but the one trusting in the Lord, mercy shall surround him."
"Be glad in the LORD and rejoice, you righteous ones; and shout for joy, all you who are upright in heart.","Be glad in the Lord and rejoice, O righteous ones, and boast, all you who are upright in heart.","Be glad in the Lord and rejoice, you just, and glory, all you upright of heart.","Be glad in the Lord and rejoice, you just, and praise him, all you upright of heart."
"Rejoice in the LORD, O you righteous; for the upright, praise is fitting.","Of David. Rejoice, O righteous, in the Lord; praise is fitting for the upright.","A psalm of David. Rejoice in the Lord, O you righteous: praise befits the upright.","Praise the Lord, you righteous; praise is fitting for the upright."
Give thanks to the LORD with the harp; with the ten-stringed lute sing praises to him.,Give thanks to the Lord with the harp; with a ten-stringed psaltery sing praises to him.,Give thanks to the Lord on the harp: sing to him on the psaltery of ten strings.,Give thanks to the Lord on the harp; on the ten-stringed psaltery sing to him.
Sing to him a new song; play skillfully with a shout of joy.,Sing to him a new song; play skillfully with a shout of joy.,Sing to him a new song: play skillfully with a loud noise.,Sing to him a new song; play skillfully with a shout of joy.
"For the word of the LORD is upright, and all his work is done in faithfulness.","For the word of the Lord is upright, and all his works are done in faithfulness.",For the word of the Lord is right: and all his works are done in faithfulness.,"For the word of the Lord is right, and all his work is done in faithfulness."
He loves righteousness and justice; the earth is full of the lovingkindness of the LORD.,He loves mercy and judgment; the earth is full of the mercy of the Lord.,He loves mercy and judgment: the earth is full of the mercy of the Lord.,He loves justice and judgment; the earth is full of the mercy of the Lord.
"By the word of the LORD the heavens were made, and by the breath of his mouth all their host.","By the word of the Lord the heavens were established, and by the breath of his mouth all their power.",By the word of the Lord the heavens were established: and all their power by the breath of his mouth.,"By the word of the Lord the heavens were made, and by the breath of his mouth all their adornment."
He gathers the waters of the sea together as a heap; he puts the deeps in storehouses.,"Gathering the waters of the sea as in a wineskin, placing the depths in storehouses.",Gathering together the waters of the sea as in a wineskin: laying up the depths in storehouses.,"Gathering together the waters of the sea as in a wineskin, placing the depths in storehouses."
Let all the earth fear the LORD; let all the inhabitants of the world stand in awe of him.,"Let all the earth fear the Lord, and let all the inhabitants of the world be shaken before him.",Let all the earth fear the Lord: and let all the inhabitants of the world be moved by him.,Let all the earth fear the Lord; let all the inhabitants of the world stand in awe of him.
"For he spoke, and it came to be; he commanded, and it stood firm.",For he spoke and they came into being; he commanded and they were created.,"For he spoke, and they were made: he commanded, and they were created.","For he commanded, and it was made; at his ordering, it stood firm."
The LORD brings the counsel of the nations to nothing; he frustrates the plans of the peoples.,"The Lord scatters the counsels of nations, and he sets aside the reasonings of peoples and sets aside the counsels of rulers.",The Lord scatters the counsels of the nations: he rejects the thoughts of the peoples and rejects the counsels of the princes.,The Lord dissolves the counsel of the nations; he has made void the thoughts of the peoples.
"The counsel of the LORD stands forever, the thoughts of his heart to all generations.",But the counsel of the Lord endures forever; the thoughts of his heart from generation to generation.,But the counsel of the Lord stands forever: the thoughts of his heart from generation to generation.,The counsel of the Lord shall stand forever; the thoughts of his heart from generation to generation.
"Blessed is the nation whose God is the LORD, the people whom he has chosen as his inheritance.","Blessed is the nation whose God is the Lord, the people whom he chose as an inheritance for himself.",Blessed is the nation whose God is the Lord: the people whom he has chosen for his own inheritance.,Blessed is the nation whose God is the Lord; the people whom he has chosen as his inheritance.
From heaven the LORD looks down; he sees all the sons of men.,From heaven the Lord looked down; he saw all the sons of men.,The Lord looked down from heaven: he saw all the sons of men.,From heaven the Lord looked down; he saw all the sons of Adam.
From his dwelling place he gazes upon all the inhabitants of the earth—,From his prepared dwelling place he looked upon all those inhabiting the earth.,From his prepared dwelling place he looked out upon all who inhabit the earth.,From his most firm throne he looked out upon all the inhabitants of the earth.
"he who fashions the hearts of them all, who discerns all their works.","He who fashioned their hearts individually, he who understands all their works.",He who formed their hearts one by one: who understands all their works.,"He who fashioned their hearts alike, who understands all their works."
The king is not saved by a great army; a warrior is not delivered by great strength.,"A king is not saved by a great army, and a giant shall not be saved by the abundance of his strength.",A king is not saved by great strength: nor shall a giant be saved by the abundance of his strength.,"The king is not saved by the multitude of his army, nor shall the strong man be delivered by the greatness of his strength."
"The horse is a vain hope for salvation, and by its great might it cannot deliver.","A horse is vain for salvation, and by the abundance of its power it shall not be saved.",A horse is deceitful for safety: nor shall he be saved by the abundance of his strength.,"The horse is a vain hope for salvation, and by the abundance of its strength it shall not save."
"Behold, the eye of the LORD is upon those who fear him, upon those who hope in his lovingkindness,","Behold, the eyes of the Lord are upon those who fear him, those who hope in his mercy,","Behold, the eyes of the Lord are upon those who fear him: who hope in his mercy.","Behold, the eye of the Lord is upon those who fear him, and upon those who hope in his mercy,"
